Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
880,Joey Wiemer,25,MIL,NL,17,6,4,69.1,12,11,0,1,0,.917,-1,-10,2,35,1.43,2.21,0.65,2.18,,,,,,,7/H89D,,wiemejo01
881,Joey Wiemer,25,CIN,NL,2,0,0,5.0,1,1,0,0,0,1.000,1,120,0,0,1.80,2.16,0.50,2.20,,,,,,,/789,,wiemejo01
882,José Buttó,26,NYM,NL,30,7,0,74.0,10,5,5,0,1,1.000,,,2,5,1.22,1.36,0.33,1.34,,,,,,,1,,buttojo01
883,Joe Ross,31,MIL,NL,25,10,0,74.0,8,5,3,0,0,1.000,,,0,0,0.97,1.36,0.32,1.34,,,,,,,1,,rossjo01
884,Merrill Kelly,35,ARI,NL,13,13,0,73.2,16,9,5,2,0,.875,,,-2,-5,1.71,1.36,1.08,1.34,,,,,,,1,,kellyme01
885,Victor Vodnik,24,COL,NL,64,0,0,73.2,14,9,5,0,0,1.000,,,-2,-5,1.71,1.36,0.22,1.34,,,,,,,1,,vodnivi01
886,Jason Adam,32,2TM,2LG,74,0,0,73.2,11,4,7,0,1,1.000,,,-2,-5,1.34,1.32,0.15,1.31,,,,,,,1,,adamja01
887,Jason Adam,32,TBR,AL,47,0,0,47.0,9,2,7,0,1,1.000,,,-1,-4,1.72,1.30,0.19,1.29,,,,,,,1,,adamja01
888,Jason Adam,32,SDP,NL,27,0,0,26.2,2,2,0,0,0,1.000,,,-1,-8,0.68,1.35,0.07,1.34,,,,,,,1,,adamja01
889,Jared Shuster,25,CHW,AL,39,4,0,73.1,11,6,4,1,0,.909,,,0,0,1.23,1.31,0.26,1.29,,,,,,,1,,shustja01
890,Hunter Strickland,35,LAA,AL,72,0,0,73.1,5,2,3,0,0,1.000,,,0,0,0.61,1.31,0.07,1.29,,,,,,,1,,strichu01
891,Tristan Gray,28,2TM,2LG,13,7,6,73.0,45,29,16,0,4,1.000,2,26,3,49,5.55,5.62,3.21,5.21,,,,,,,/35H,,graytr01
892,Tristan Gray,28,MIA,NL,5,1,1,15.0,10,1,9,0,0,1.000,2,136,1,80,6.00,2.58,2.00,2.52,,,,,,,/5H,,graytr01
893,Tristan Gray,28,OAK,AL,8,6,5,58.0,35,28,7,0,4,1.000,0,-2,2,41,5.43,6.41,3.89,6.70,,,,,,,/35H,,graytr01
894,Justin Martínez,22,ARI,NL,64,0,0,72.2,9,1,7,1,0,.889,,,-1,-3,0.99,1.36,0.13,1.34,,,,,,,1,,martiju01
895,Hogan Harris,27,OAK,AL,21,9,0,72.1,7,1,5,1,0,.857,,,0,0,0.75,1.31,0.29,1.29,,,,,,,1,,harriho03
896,Trent Thornton,30,SEA,AL,71,0,0,72.1,10,3,6,1,0,.900,,,0,0,1.12,1.31,0.13,1.29,,,,,,,1,,thorntr01
897,Tanner Banks,32,2TM,2LG,63,2,0,72.1,11,0,8,3,0,.727,,,-2,-6,1.00,1.33,0.13,1.31,,,,,,,1,,banksta01
898,Tanner Banks,32,CHW,AL,41,1,0,48.0,9,0,6,3,0,.667,,,-1,-4,1.13,1.31,0.15,1.29,,,,,,,1,,banksta01
899,Tanner Banks,32,PHI,NL,22,1,0,24.1,2,0,2,0,0,1.000,,,-1,-8,0.74,1.37,0.09,1.34,,,,,,,1,,banksta01
900,Hayden Birdsong,22,SFG,NL,16,16,0,72.0,12,7,4,1,0,.917,,,0,0,1.38,1.36,0.69,1.34,,,,,,,1,,birdsha01
901,David Robertson,39,TEX,AL,68,0,0,72.0,11,3,8,0,0,1.000,,,1,3,1.38,1.31,0.16,1.29,,,,,,,1,,roberda08
902,Tanner Scott,29,2TM,NL,72,0,0,72.0,12,5,5,2,0,.833,,,-2,-6,1.25,1.36,0.14,1.34,,,,,,,1,AS,scottta01
903,Tanner Scott,29,MIA,NL,44,0,0,45.2,5,2,2,1,0,.800,,,-2,-9,0.79,1.36,0.09,1.34,,,,,,,1,,scottta01
904,Tanner Scott,29,SDP,NL,28,0,0,26.1,7,3,3,1,0,.857,,,0,0,2.05,1.37,0.21,1.34,,,,,,,1,,scottta01
905,Dennis Santana,28,2TM,2LG,62,0,0,71.2,12,6,6,0,2,1.000,,,0,0,1.51,1.34,0.19,1.32,,,,,,,1,,santade01
906,Dennis Santana,28,NYY,AL,23,0,0,27.1,4,2,2,0,1,1.000,,,-2,-15,1.32,1.32,0.17,1.29,,,,,,,1,,santade01
907,Dennis Santana,28,PIT,NL,39,0,0,44.1,8,4,4,0,1,1.000,,,2,9,1.62,1.36,0.21,1.34,,,,,,,1,,santade01
908,Ty Blach,33,COL,NL,20,12,0,71.1,19,5,14,0,2,1.000,,,4,11,2.40,1.36,0.95,1.34,,,,,,,1,,blachty01
909,Cole Sands,26,MIN,AL,62,0,0,71.1,10,5,4,1,0,.900,,,-1,-3,1.14,1.31,0.15,1.29,,,,,,,1,,sandsco01
910,A.J. Puk,29,2TM,NL,62,4,0,71.1,7,2,5,0,1,1.000,,,1,3,0.88,1.35,0.11,1.34,,,,,,,1,,pukaj01
911,A.J. Puk,29,MIA,NL,32,4,0,44.0,6,2,4,0,1,1.000,,,1,5,1.23,1.35,0.19,1.34,,,,,,,1,,pukaj01
912,A.J. Puk,29,ARI,NL,30,0,0,27.1,1,0,1,0,0,1.000,,,0,0,0.33,1.35,0.03,1.34,,,,,,,1,,pukaj01
913,Alexander Canario,24,CHC,NL,14,7,4,71.0,24,24,0,0,0,1.000,1,17,2,34,3.04,2.21,1.71,2.18,,,,,,,7/9HD,,canaral01
914,Buck Farmer,33,CIN,NL,61,1,0,71.0,6,3,3,0,0,1.000,,,-1,-3,0.76,1.36,0.10,1.34,,,,,,,1,,farmebu01
915,Josh Hader,30,HOU,AL,71,0,0,71.0,9,3,6,0,0,1.000,,,2,6,1.14,1.31,0.13,1.29,,,,,,,1,,haderjo01
916,Griffin Jax,29,MIN,AL,72,0,0,71.0,10,4,6,0,0,1.000,,,1,3,1.27,1.31,0.14,1.29,,,,,,,1,,jaxgr01
917,Nacho Alvarez Jr.,21,ATL,NL,8,8,8,70.2,21,8,13,0,3,1.000,0,-7,-1,-17,2.67,3.96,2.63,3.89,,,,,,,/45,,alvarna01
918,Kevin Kelly,26,TBR,AL,68,0,0,70.2,15,4,11,0,0,1.000,,,0,0,1.91,1.31,0.22,1.29,,,,,,,1,,kellyke02
919,Andrew Kittredge,34,STL,NL,74,0,0,70.2,11,3,7,1,1,.909,,,-2,-6,1.27,1.36,0.14,1.34,,,,,,,1,,kittran01
920,Declan Cronin,26,MIA,NL,56,0,0,70.1,8,4,3,1,0,.875,,,-5,-14,0.90,1.36,0.13,1.34,,,,,,,1,,cronide01
921,Tyler Rogers,33,SFG,NL,77,0,0,70.1,15,5,9,1,1,.933,,,-2,-6,1.79,1.36,0.18,1.34,,,,,,,1,,rogerty01
922,Will Vest,29,DET,AL,69,0,0,70.1,11,4,7,0,0,1.000,,,1,3,1.41,1.31,0.16,1.29,,,,,,,1,,vestwi01
923,Kevin Ginkel,30,ARI,NL,72,0,0,70.0,8,4,4,0,0,1.000,,,0,0,1.03,1.36,0.11,1.34,,,,,,,1,,ginkeke01
924,César Salazar,28,HOU,AL,10,7,5,70.0,89,83,4,2,0,.978,0,0,0,0,11.19,9.15,8.70,9.03,1,3,4,1,20.0,0,2/DH,,salazce01
925,Jalen Beeks,30,2TM,NL,71,0,0,70.0,11,3,7,1,1,.909,,,0,0,1.29,1.35,0.14,1.34,,,,,,,1,,beeksja02
926,Jalen Beeks,30,COL,NL,45,0,0,49.1,7,2,5,0,0,1.000,,,1,4,1.28,1.35,0.16,1.34,,,,,,,1,,beeksja02
927,Jalen Beeks,30,PIT,NL,26,0,0,20.2,4,1,2,1,1,.750,,,-1,-10,1.31,1.35,0.12,1.34,,,,,,,1,,beeksja02
928,Adrian Houser,31,NYM,NL,23,7,0,69.1,15,4,11,0,1,1.000,,,3,9,1.95,1.36,0.65,1.34,,,,,,,1,,housead01
929,Raisel Iglesias,34,ATL,NL,66,0,0,69.1,15,4,11,0,1,1.000,,,2,6,1.95,1.36,0.23,1.34,,,,,,,1,,iglesra01
930,Austin Shenton,26,TBR,AL,10,8,7,69.1,65,62,3,0,3,1.000,0,2,0,0,8.44,8.02,6.50,7.92,,,,,,,3/HD,,shentau01
931,Jahmai Jones,26,NYY,AL,19,5,4,69.0,25,16,8,1,1,.960,1,10,0,0,3.13,2.79,1.26,2.53,,,,,,,H/9D745,,jonesja08
932,Landon Knack,26,LAD,NL,15,12,0,69.0,8,7,1,0,0,1.000,,,-2,-6,1.04,1.36,0.53,1.34,,,,,,,1,,knackla01
933,Valente Bellozo,24,MIA,NL,13,13,0,68.2,9,4,5,0,0,1.000,,,1,3,1.18,1.36,0.69,1.34,,,,,,,1,,bellova01
934,Joe Jiménez,29,ATL,NL,69,0,0,68.2,6,2,3,1,0,.833,,,0,0,0.66,1.36,0.07,1.34,,,,,,,1,,jimenjo02
935,Tayler Scott,32,HOU,AL,62,1,0,68.2,16,11,5,0,0,1.000,,,1,3,2.10,1.31,0.26,1.29,,,,,,,1,,scottta02
936,Dylan Floro,33,2TM,NL,66,0,0,68.2,12,6,6,0,0,1.000,,,-1,-3,1.57,1.36,0.18,1.34,,,,,,,1,,florody01
937,Dylan Floro,33,WSN,NL,51,0,0,52.1,8,3,5,0,0,1.000,,,0,0,1.38,1.36,0.16,1.34,,,,,,,1,,florody01
938,Dylan Floro,33,ARI,NL,15,0,0,16.1,4,3,1,0,0,1.000,,,-1,-12,2.20,1.38,0.27,1.34,,,,,,,1,,florody01
939,Grant Holmes,28,ATL,NL,26,7,0,68.1,9,3,6,0,1,1.000,,,-1,-3,1.19,1.36,0.35,1.34,,,,,,,1,,holmegr01
940,Roansy Contreras,24,2TM,2LG,49,3,0,68.1,10,3,6,1,0,.900,,,0,0,1.19,1.33,0.18,1.30,,,,,,,1,,contrro01
941,Roansy Contreras,24,PIT,NL,12,0,0,16.1,2,2,0,0,0,1.000,,,0,0,1.10,1.38,0.17,1.34,,,,,,,1,,contrro01
942,Roansy Contreras,24,LAA,AL,37,3,0,52.0,8,1,6,1,0,.875,,,0,0,1.21,1.32,0.19,1.29,,,,,,,1,,contrro01
943,Beau Brieske,26,DET,AL,46,12,0,67.2,11,3,8,0,1,1.000,,,2,6,1.46,1.32,0.24,1.29,,,,,,,1,,briesbe01
944,Hayden Wesneski,26,CHC,NL,28,7,0,67.2,17,8,7,2,1,.882,,,-1,-3,2.00,1.36,0.54,1.34,,,,,,,1,,wesneha01
945,Michael Kopech,28,2TM,2LG,67,0,0,67.2,9,6,2,1,0,.889,,,-2,-6,1.06,1.33,0.12,1.31,,,,,,,1,,kopecmi01
946,Michael Kopech,28,CHW,AL,43,0,0,43.2,5,3,2,0,0,1.000,,,-1,-5,1.03,1.32,0.12,1.29,,,,,,,1,,kopecmi01
947,Michael Kopech,28,LAD,NL,24,0,0,24.0,4,3,0,1,0,.750,,,-1,-8,1.13,1.35,0.13,1.34,,,,,,,1,,kopecmi01
948,Trenton Brooks,28,SFG,NL,9,8,4,67.1,63,61,2,0,8,1.000,0,-2,0,0,8.42,8.29,7.00,8.18,,,,,,,/3HD,,brooktr01
949,Erik Miller,26,SFG,NL,73,10,0,67.1,6,0,5,1,0,.833,,,0,0,0.67,1.36,0.07,1.34,,,,,,,1,,milleer01
950,Joey Wentz,26,2TM,2LG,46,1,0,67.1,9,3,5,1,0,.889,,,-2,-6,1.07,1.31,0.17,1.30,,,,,,,1,,wentzjo01
951,Joey Wentz,26,DET,AL,38,1,0,55.1,7,3,3,1,0,.857,,,-2,-7,0.98,1.30,0.16,1.29,,,,,,,1,,wentzjo01
952,Joey Wentz,26,PIT,NL,8,0,0,12.0,2,0,2,0,0,1.000,,,0,0,1.50,1.35,0.25,1.34,,,,,,,/1,,wentzjo01
953,Tim Hill,34,2TM,AL,62,0,0,67.0,27,4,21,2,1,.926,,,0,0,3.36,1.30,0.40,1.29,,,,,,,1,,hillti01
954,Tim Hill,34,CHW,AL,27,0,0,23.0,8,1,5,2,0,.750,,,-1,-9,2.35,1.29,0.22,1.29,,,,,,,1,,hillti01
955,Tim Hill,34,NYY,AL,35,0,0,44.0,19,3,16,0,1,1.000,,,1,5,3.89,1.31,0.54,1.29,,,,,,,1,,hillti01
956,Jakob Junis,31,2TM,NL,24,6,0,67.0,6,2,4,0,2,1.000,,,1,3,0.81,1.36,0.25,1.34,,,,,,,1,,junisja01
957,Jakob Junis,31,MIL,NL,10,1,0,26.0,4,2,2,0,1,1.000,,,0,0,1.38,1.35,0.40,1.34,,,,,,,1,,junisja01
958,Jakob Junis,31,CIN,NL,14,5,0,41.0,2,0,2,0,1,1.000,,,1,5,0.44,1.36,0.14,1.34,,,,,,,1,,junisja01
959,Fernando Cruz,34,CIN,NL,69,3,0,66.2,9,2,7,0,0,1.000,,,1,3,1.22,1.36,0.13,1.34,,,,,,,1,,cruzfe01
960,Ryan Fernandez,26,STL,NL,62,0,0,66.2,11,5,6,0,0,1.000,,,-1,-3,1.49,1.36,0.18,1.34,,,,,,,1,,fernary01
961,José Leclerc,30,TEX,AL,64,0,0,66.2,8,2,5,1,1,.875,,,0,0,0.95,1.31,0.11,1.29,,,,,,,1,,leclejo01
962,Jesús Luzardo,26,MIA,NL,12,12,0,66.2,13,3,10,0,0,1.000,,,2,6,1.76,1.36,1.08,1.34,,,,,,,1,,luzarje01
963,Trevor Williams,32,WSN,NL,13,13,0,66.2,7,2,5,0,0,1.000,,,2,6,0.95,1.36,0.54,1.34,,,,,,,1,,willitr01
964,Shawn Armstrong,33,3TM,2LG,57,7,0,66.2,4,0,4,0,1,1.000,,,-3,-9,0.54,1.32,0.07,1.31,,,,,,,1,,armstsh01
965,Shawn Armstrong,33,2TM,NL,19,0,0,20.0,1,0,1,0,1,1.000,,,-1,-10,0.45,1.35,0.05,1.34,,,,,,,1,,armstsh01
966,Shawn Armstrong,33,TBR,AL,38,7,0,46.2,3,0,3,0,0,1.000,,,-2,-9,0.58,1.31,0.08,1.29,,,,,,,1,,armstsh01
967,Shawn Armstrong,33,STL,NL,11,0,0,12.2,0,0,0,0,0,,,,-1,-16,0.00,1.35,0.00,1.34,,,,,,,1,,armstsh01
968,Shawn Armstrong,33,CHC,NL,8,0,0,7.1,1,0,1,0,1,1.000,,,0,0,1.23,1.35,0.13,1.34,,,,,,,/1,,armstsh01
969,Ryan Helsley,29,STL,NL,65,0,0,66.1,9,6,3,0,2,1.000,,,0,0,1.22,1.36,0.14,1.34,,,,,,,1,ASCYA-9,helslry01
970,Jeff Hoffman,31,PHI,NL,68,0,0,66.1,10,9,1,0,0,1.000,,,-2,-6,1.36,1.36,0.15,1.34,,,,,,,1,AS,hoffmje02
971,Ryan Thompson,32,ARI,NL,67,0,0,66.1,21,7,13,1,1,.952,,,-1,-3,2.71,1.36,0.30,1.34,,,,,,,1,,thompry02
972,Alex Vesia,28,LAD,NL,67,0,0,66.1,8,1,6,1,1,.875,,,1,3,0.95,1.36,0.10,1.34,,,,,,,1,,vesiaal01
973,Nate Pearson,27,2TM,2LG,60,1,0,66.1,1,1,0,0,0,1.000,,,-2,-6,0.14,1.33,0.02,1.31,,,,,,,1,,pearsna01
974,Nate Pearson,27,TOR,AL,41,0,0,40.0,1,1,0,0,0,1.000,,,-2,-10,0.23,1.31,0.02,1.29,,,,,,,1,,pearsna01
975,Nate Pearson,27,CHC,NL,19,1,0,26.1,0,0,0,0,0,,,,0,0,0.00,1.37,0.00,1.34,,,,,,,1,,pearsna01
976,Jacob Barnes,34,WSN,NL,63,0,0,66.0,9,6,2,1,0,.889,,,-2,-6,1.09,1.36,0.13,1.34,,,,,,,1,,barneja01
977,Tim Herrin,27,CLE,AL,75,0,0,65.2,20,2,17,1,2,.950,,,4,12,2.60,1.32,0.25,1.29,,,,,,,1,,herriti01
978,Brent Suter,34,CIN,NL,47,3,0,65.2,18,7,10,1,0,.944,,,2,6,2.33,1.36,0.36,1.34,,,,,,,1,,suterbr01
979,Jack Kochanowicz,23,LAA,AL,11,11,0,65.1,10,3,7,0,1,1.000,,,1,3,1.38,1.31,0.91,1.29,,,,,,,1,,kochaja01
980,Trevor Richards,31,2TM,AL,55,2,0,65.1,7,2,2,3,0,.571,,,0,0,0.55,1.31,0.07,1.29,,,,,,,1,,richatr01
981,Trevor Richards,31,TOR,AL,45,2,0,52.1,5,1,2,2,0,.600,,,1,4,0.52,1.31,0.07,1.29,,,,,,,1,,richatr01
982,Trevor Richards,31,MIN,AL,10,0,0,13.0,2,1,0,1,0,.500,,,-1,-15,0.69,1.32,0.10,1.29,,,,,,,1,,richatr01
983,Mason Miller,25,OAK,AL,55,0,0,65.0,3,2,1,0,0,1.000,,,-1,-3,0.42,1.32,0.05,1.29,,,,,,,1,ASROY-4,millema03
984,Blake Sabol,26,SFG,NL,8,7,5,65.0,70,66,1,3,0,.957,-3,-55,0,0,9.28,9.06,8.38,8.94,0,5,11,0,0.0,0,/2DH,,sabolbl01
985,Robert Suarez,33,SDP,NL,65,0,0,65.0,7,5,2,0,0,1.000,,,1,3,0.97,1.36,0.11,1.34,,,,,,,1,AS,suarero01
986,Hoby Milner,33,MIL,NL,61,1,0,64.2,23,11,12,0,0,1.000,,,4,12,3.20,1.36,0.38,1.34,,,,,,,1,,milneho01
987,David Festa,24,MIN,AL,14,13,0,64.1,5,1,4,0,0,1.000,,,-1,-3,0.70,1.32,0.36,1.29,,,,,,,1,,festada01
988,Tyler Kinley,33,COL,NL,67,0,0,64.0,10,2,7,1,0,.900,,,-1,-3,1.27,1.36,0.13,1.34,,,,,,,1,,kinlety01
989,Enyel De Los Santos,28,3TM,2LG,64,0,0,64.0,8,3,4,1,0,.875,,,0,0,0.98,1.34,0.11,1.33,,,,,,,1,,delosen01
990,Enyel De Los Santos,28,2TM,AL,20,0,0,23.2,6,2,4,0,0,1.000,,,2,17,2.28,1.29,0.30,1.30,,,,,,,1,,delosen01
991,Enyel De Los Santos,28,SDP,NL,44,0,0,40.1,2,1,0,1,0,.500,,,-2,-10,0.22,1.36,0.02,1.34,,,,,,,1,,delosen01
992,Enyel De Los Santos,28,NYY,AL,5,0,0,6.1,1,1,0,0,0,1.000,,,0,0,1.42,1.28,0.20,1.30,,,,,,,/1,,delosen01
993,Enyel De Los Santos,28,CHW,AL,15,0,0,17.1,5,1,4,0,0,1.000,,,2,23,2.60,1.30,0.33,1.29,,,,,,,1,,delosen01
994,Phil Maton,31,2TM,2LG,71,0,0,64.0,9,2,7,0,0,1.000,,,0,0,1.27,1.32,0.13,1.31,,,,,,,1,,matonph01
995,Phil Maton,31,TBR,AL,40,0,0,35.1,4,0,4,0,0,1.000,,,0,0,1.02,1.30,0.10,1.29,,,,,,,1,,matonph01
996,Phil Maton,31,NYM,NL,31,0,0,28.2,5,2,3,0,0,1.000,,,0,0,1.57,1.35,0.16,1.34,,,,,,,1,,matonph01
997,Kyle Finnegan,32,WSN,NL,65,0,0,63.2,5,0,5,0,1,1.000,,,-2,-6,0.71,1.36,0.08,1.34,,,,,,,1,AS,finneky01
998,Adrián Morejón,25,SDP,NL,60,0,0,63.2,6,1,5,0,0,1.000,,,-3,-9,0.85,1.36,0.10,1.34,,,,,,,1,,morejad01
999,Osvaldo Bido,28,OAK,AL,16,9,0,63.1,9,3,5,1,0,.889,,,-1,-3,1.14,1.31,0.50,1.29,,,,,,,1,,bidoos01
1000,Jesse Chavez,40,ATL,NL,46,0,0,63.1,11,2,8,1,0,.909,,,0,0,1.42,1.36,0.22,1.34,,,,,,,1,,chaveje01
1001,Greg Weissert,29,BOS,AL,62,0,0,63.1,11,4,7,0,1,1.000,,,1,3,1.56,1.31,0.18,1.29,,,,,,,1,,weissgr01
1002,Clay Holmes,31,NYY,AL,67,0,0,63.0,10,6,4,0,0,1.000,,,-2,-6,1.43,1.31,0.15,1.29,,,,,,,1,AS,holmecl01
1003,Daniel Hudson,37,LAD,NL,65,0,0,63.0,7,4,3,0,0,1.000,,,0,0,1.00,1.36,0.11,1.34,,,,,,,1,,hudsoda01
1004,Orion Kerkering,23,PHI,NL,64,2,0,63.0,4,3,1,0,0,1.000,,,-1,-3,0.57,1.36,0.06,1.34,,,,,,,1,,kerkeor01
1005,Génesis Cabrera,27,TOR,AL,69,0,0,62.2,6,3,3,0,0,1.000,,,-2,-6,0.86,1.31,0.09,1.29,,,,,,,1,,cabrege01
1006,Yuki Matsui,28,SDP,NL,64,0,0,62.2,6,1,4,1,0,.833,,,-1,-3,0.72,1.36,0.08,1.34,,,,,,,1,,matsuyu01
1007,Matt Strahm,32,PHI,NL,66,0,0,62.2,3,1,2,0,0,1.000,,,1,3,0.43,1.36,0.05,1.34,,,,,,,1,AS,strahma01
1008,Donovan Walton,30,SFG,NL,9,6,6,62.2,26,10,16,0,1,1.000,0,-8,1,19,3.73,4.12,2.89,3.78,,,,,,,/41H,,waltodo01
1009,Bryan Hudson,27,MIL,NL,43,0,0,62.1,10,5,5,0,0,1.000,,,1,3,1.44,1.36,0.23,1.34,,,,,,,1,,hudsobr01
1010,Jared Koenig,30,MIL,NL,55,6,0,62.0,7,0,5,2,0,.714,,,-1,-3,0.73,1.36,0.09,1.34,,,,,,,1,,koenija01
1011,Tyson Miller,28,2TM,2LG,58,0,0,62.0,5,3,2,0,0,1.000,,,-1,-3,0.73,1.35,0.09,1.33,,,,,,,1,,millety01
1012,Tyson Miller,28,SEA,AL,9,0,0,11.2,1,1,0,0,0,1.000,,,0,0,0.77,1.31,0.11,1.29,,,,,,,/1,,millety01
1013,Tyson Miller,28,CHC,NL,49,0,0,50.1,4,2,2,0,0,1.000,,,-1,-4,0.72,1.36,0.08,1.34,,,,,,,1,,millety01
1014,José Alvarado,29,PHI,NL,66,0,0,61.2,4,2,2,0,0,1.000,,,-3,-10,0.58,1.36,0.06,1.34,,,,,,,1,,alvarjo03
1015,Aroldis Chapman,36,PIT,NL,68,0,0,61.2,9,2,7,0,0,1.000,,,0,0,1.31,1.36,0.13,1.34,,,,,,,1,,chapmar01
1016,Kirby Yates,37,TEX,AL,61,0,0,61.2,11,4,6,1,0,.909,,,0,0,1.46,1.31,0.16,1.29,,,,,,,1,ASCYA-8,yateski01
1017,Lucas Erceg,29,2TM,AL,61,0,0,61.2,13,5,7,1,2,.923,,,0,0,1.75,1.30,0.20,1.29,,,,,,,1,,erceglu01
1018,Lucas Erceg,29,OAK,AL,38,0,0,36.2,10,5,5,0,2,1.000,,,1,5,2.45,1.30,0.26,1.29,,,,,,,1,,erceglu01
1019,Lucas Erceg,29,KCR,AL,23,0,0,25.0,3,0,2,1,0,.667,,,-1,-8,0.72,1.30,0.09,1.29,,,,,,,1,,erceglu01
1020,Peter Lambert,27,COL,NL,28,3,0,61.1,14,5,7,2,2,.857,,,0,0,1.76,1.36,0.43,1.34,,,,,,,1,,lambepe01
1021,Jeremiah Estrada,25,SDP,NL,62,0,0,61.0,4,1,2,1,0,.750,,,-1,-3,0.44,1.36,0.05,1.34,,,,,,,1,,estraje01
1022,Austin Voth,32,SEA,AL,68,0,0,61.0,13,10,2,1,0,.923,,,0,0,1.77,1.31,0.18,1.29,,,,,,,1,,vothau01
1023,Emerson Hancock,25,SEA,AL,12,12,0,60.2,13,9,2,2,0,.846,,,0,0,1.63,1.31,0.92,1.29,,,,,,,1,,hancoem01
1024,Ehire Adrianza,34,LAA,AL,8,6,6,60.0,14,2,12,0,2,1.000,1,18,1,20,2.10,2.91,1.75,2.80,,,,,,,/54H,,adriaeh01
1025,Yennier Cano,30,BAL,AL,70,0,0,60.0,15,6,9,0,1,1.000,,,3,10,2.25,1.31,0.21,1.29,,,,,,,1,,canoye01
1026,Garrett Cleavinger,30,TBR,AL,68,0,0,60.0,6,0,6,0,0,1.000,,,-4,-13,0.90,1.31,0.09,1.29,,,,,,,1,,cleavga01
1027,Jason Foley,28,DET,AL,69,0,0,60.0,6,1,5,0,1,1.000,,,-1,-3,0.90,1.31,0.09,1.29,,,,,,,1,,foleyja01
1028,John King,29,STL,NL,56,0,0,60.0,19,6,12,1,0,.947,,,-1,-3,2.70,1.37,0.32,1.34,,,,,,,1,,kingjo01
1029,Taylor Rogers,33,SFG,NL,64,0,0,60.0,9,2,6,1,0,.889,,,1,3,1.20,1.37,0.13,1.34,,,,,,,1,,rogerta01
1030,Robert Garcia,28,WSN,NL,72,0,0,59.2,4,0,3,1,1,.750,,,-1,-3,0.45,1.36,0.04,1.34,,,,,,,1,,garciro04
1031,Justin Lawrence,29,COL,NL,56,0,0,59.2,15,4,11,0,1,1.000,,,0,0,2.26,1.36,0.27,1.34,,,,,,,1,,lawreju01
1032,Dylan Lee,29,ATL,NL,52,0,0,59.2,6,1,5,0,0,1.000,,,2,7,0.91,1.36,0.12,1.34,,,,,,,1,,leedy01
1033,Joe Mantiply,33,ARI,NL,75,2,0,59.2,12,4,7,1,1,.917,,,-2,-7,1.66,1.36,0.15,1.34,,,,,,,1,,mantijo01
1034,Anthony Molina,22,COL,NL,35,1,0,59.2,12,8,4,0,0,1.000,,,-1,-3,1.81,1.36,0.34,1.34,,,,,,,1,,molinan01
1035,Bryce Jarvis,26,ARI,NL,44,0,0,59.1,8,3,5,0,0,1.000,,,1,3,1.21,1.37,0.18,1.34,,,,,,,1,,jarvibr01
1036,Andrés Muñoz,25,SEA,AL,60,0,0,59.1,9,0,8,1,0,.889,,,0,0,1.21,1.30,0.13,1.29,,,,,,,1,AS,munozan01
1037,Hector Neris,35,2TM,2LG,62,0,0,59.1,10,4,4,2,0,.800,,,-2,-7,1.21,1.33,0.13,1.33,,,,,,,1,,nerishe01
1038,Hector Neris,35,CHC,NL,46,0,0,44.0,9,4,4,1,0,.889,,,-1,-5,1.64,1.35,0.17,1.34,,,,,,,1,,nerishe01
1039,Hector Neris,35,HOU,AL,16,0,0,15.1,1,0,0,1,0,.000,,,-1,-13,0.00,1.29,0.00,1.29,,,,,,,1,,nerishe01
1040,Camilo Doval,26,SFG,NL,62,0,0,59.0,15,7,6,2,2,.867,,,-2,-7,1.98,1.36,0.21,1.34,,,,,,,1,,dovalca01
1041,Grae Kessinger,26,HOU,AL,18,4,3,59.0,30,17,12,1,4,.967,0,6,0,0,4.42,3.58,1.61,3.38,,,,,,,/H546D13,,kessigr01
1042,Joel Payamps,30,MIL,NL,68,0,0,59.0,6,1,3,2,0,.667,,,0,0,0.61,1.36,0.06,1.34,,,,,,,1,,payamjo01
1043,JoJo Romero,27,STL,NL,65,0,0,59.0,6,0,6,0,0,1.000,,,2,7,0.92,1.36,0.09,1.34,,,,,,,1,,romerjo01
1044,Cal Stevenson,27,PHI,NL,16,6,3,59.0,24,23,1,0,0,1.000,-1,-14,-1,-20,3.66,2.21,1.50,2.18,,,,,,,8/H97,,steveca01
1045,Luis García,37,2TM,AL,60,0,0,59.0,6,3,3,0,0,1.000,,,-2,-7,0.92,1.31,0.10,1.29,,,,,,,1,,garcilu03
1046,Luis García,37,LAA,AL,45,0,0,43.2,4,3,1,0,0,1.000,,,-2,-9,0.82,1.32,0.09,1.29,,,,,,,1,,garcilu03
1047,Luis García,37,BOS,AL,15,0,0,15.1,2,0,2,0,0,1.000,,,0,0,1.17,1.29,0.13,1.29,,,,,,,1,,garcilu03
1048,Drew Smyly,35,CHC,NL,50,0,0,58.2,7,3,3,1,0,.857,,,-2,-7,0.92,1.37,0.12,1.34,,,,,,,1,,smylydr01
1049,Seranthony Domínguez,29,2TM,2LG,63,0,0,58.2,11,6,5,0,0,1.000,,,-1,-3,1.69,1.33,0.17,1.32,,,,,,,1,,dominse01
